Address,Varies,P1,P2,P3
0x0732,No,0x00,0x00,0x00
0x0733,No,0xC3,0xC3,0xC3
0x0734,No,0xA2,0xA2,0xA2
0x0735,No,0x00,0x00,0x00
0x0736,No,0x00,0x00,0x00
0x0737,No,0x06,0x06,0x06
0x0738,No,0x00,0x00,0x00
0x0739,No,0x21,0x21,0x21
0x073A,No,0x43,0x43,0x43
0x073B,No,0x02,0x02,0x02
0x073C,No,0x03,0x03,0x03
0x073D,No,0x00,0x00,0x00
0x073E,No,0x0C,0x0C,0x0C
0x073F,No,0x06,0x06,0x06
0x0743,No,0x00,0x00,0x00
0x0744,No,0x00,0x00,0x00
0x0745,No,0x00,0x00,0x00
0x0746,No,0x00,0x00,0x00
0x0789,Yes,0xA0,0xC1,0xC1
0x078A,No,0x02,0x02,0x02
0x079B,No,0xFA,0xFA,0xFA
0x079D,No,0x10,0x10,0x10
0x079E,No,0x20,0x20,0x20
0x079F,No,0x0D,0x0D,0x0D
0x07A0,No,0x0C,0x0C,0x0C
0x07A1,No,0x07,0x07,0x07
0x07A2,No,0x07,0x07,0x07
0x07A6,No,0x0B,0x0B,0x0B
0x0802,No,0x35,0x35,0x35
0x0803,No,0x04,0x04,0x04
0x0804,No,0x00,0x00,0x00
0x0805,No,0x45,0x45,0x45
0x0806,No,0x04,0x04,0x04
0x0807,No,0x00,0x00,0x00
0x0808,No,0x42,0x42,0x42
0x0809,No,0x04,0x04,0x04
0x080A,No,0x00,0x00,0x00
0x080B,No,0x43,0x43,0x43
0x080C,No,0x04,0x04,0x04
0x080D,No,0x00,0x00,0x00
0x080E,No,0x44,0x44,0x44
0x080F,No,0x04,0x04,0x04
0x0810,No,0x00,0x00,0x00
0x0811,No,0x35,0x35,0x35
0x0812,No,0x05,0x05,0x05
0x0813,No,0x00,0x00,0x00
0x0814,No,0x45,0x45,0x45
0x0815,No,0x05,0x05,0x05
0x0816,No,0x00,0x00,0x00
0x0817,No,0x42,0x42,0x42
0x0818,No,0x05,0x05,0x05
0x0819,No,0x00,0x00,0x00
0x081A,No,0x43,0x43,0x43
0x081B,No,0x05,0x05,0x05
0x081C,No,0x00,0x00,0x00
0x081D,No,0x44,0x44,0x44
0x081E,No,0x05,0x05,0x05
0x081F,No,0x00,0x00,0x00
0x0820,No,0x35,0x35,0x35
0x0821,No,0x06,0x06,0x06
0x0822,No,0x00,0x00,0x00
0x0823,No,0x45,0x45,0x45
0x0824,No,0x06,0x06,0x06
0x0825,No,0x00,0x00,0x00
0x0826,No,0x42,0x42,0x42
0x0827,No,0x06,0x06,0x06
0x0828,No,0x00,0x00,0x00
0x0829,No,0x43,0x43,0x43
0x082A,No,0x06,0x06,0x06
0x082B,No,0x00,0x00,0x00
0x082C,No,0x44,0x44,0x44
0x082D,No,0x06,0x06,0x06
0x082E,No,0x00,0x00,0x00
0x082F,No,0x36,0x36,0x36
0x0830,No,0x07,0x07,0x07
0x0831,No,0x00,0x00,0x00
0x0832,No,0x46,0x46,0x46
0x0833,No,0x07,0x07,0x07
0x0834,No,0x00,0x00,0x00
0x0835,No,0x43,0x43,0x43
0x0836,No,0x07,0x07,0x07
0x0837,No,0x00,0x00,0x00
0x0838,No,0x44,0x44,0x44
0x0839,No,0x07,0x07,0x07
0x083A,No,0x00,0x00,0x00
0x083B,No,0x45,0x45,0x45
0x083C,No,0x07,0x07,0x07
0x083D,No,0x00,0x00,0x00
0x083E,No,0x00,0x00,0x00
0x083F,No,0x00,0x00,0x00
0x0840,No,0x00,0x00,0x00
0x0841,No,0x00,0x00,0x00
0x0842,No,0x00,0x00,0x00
0x0843,No,0x00,0x00,0x00
0x0844,No,0x00,0x00,0x00
0x0845,No,0x00,0x00,0x00
0x0846,No,0x00,0x00,0x00
0x0847,No,0x00,0x00,0x00
0x0848,No,0x00,0x00,0x00
0x0849,No,0x00,0x00,0x00
0x084A,No,0x00,0x00,0x00
